,0,1,accuracy,macro avg,weighted avg
AdaBoostClassifier,"{'precision': 0.9281081081081081, 'recall': 0.9613661814109743, 'f1-score': 0.9444444444444444, 'support': 1786}","{'precision': 0.6079545454545454, 'recall': 0.44583333333333336, 'f1-score': 0.514423076923077, 'support': 240}",0.9002961500493584,"{'precision': 0.7680313267813268, 'recall': 0.7035997573721539, 'f1-score': 0.7294337606837606, 'support': 2026}","{'precision': 0.8901827107552676, 'recall': 0.9002961500493584, 'f1-score': 0.8935041047578067, 'support': 2026}"
BaggingClassifier,"{'precision': 0.9211796246648793, 'recall': 0.961926091825308, 'f1-score': 0.9411120241029854, 'support': 1786}","{'precision': 0.577639751552795, 'recall': 0.3875, 'f1-score': 0.46384039900249374, 'support': 240}",0.8938795656465943,"{'precision': 0.7494096881088372, 'recall': 0.674713045912654, 'f1-score': 0.7024762115527396, 'support': 2026}","{'precision': 0.8804838845133984, 'recall': 0.8938795656465943, 'f1-score': 0.8845744179706467, 'support': 2026}"
BernoulliNB,"{'precision': 0.9577922077922078, 'recall': 0.8258678611422172, 'f1-score': 0.8869512928442573, 'support': 1786}","{'precision': 0.360082304526749, 'recall': 0.7291666666666666, 'f1-score': 0.48209366391184566, 'support': 240}",0.8144126357354393,"{'precision': 0.6589372561594784, 'recall': 0.7775172639044419, 'f1-score': 0.6845224783780515, 'support': 2026}","{'precision': 0.8869874808505936, 'recall': 0.8144126357354393, 'f1-score': 0.8389918501276834, 'support': 2026}"
CalibratedClassifierCV,"{'precision': 0.9012722646310433, 'recall': 0.9916013437849944, 'f1-score': 0.9442815249266863, 'support': 1786}","{'precision': 0.7540983606557377, 'recall': 0.19166666666666668, 'f1-score': 0.30564784053156147, 'support': 240}",0.8968410661401777,"{'precision': 0.8276853126433905, 'recall': 0.5916340052258305, 'f1-score': 0.6249646827291239, 'support': 2026}","{'precision': 0.8838380410604245, 'recall': 0.8968410661401777, 'f1-score': 0.8686289660644799, 'support': 2026}"
ComplementNB,"{'precision': 0.9337979094076655, 'recall': 0.9003359462486002, 'f1-score': 0.9167616875712656, 'support': 1786}","{'precision': 0.4144736842105263, 'recall': 0.525, 'f1-score': 0.4632352941176471, 'support': 240}",0.8558736426456071,"{'precision': 0.674135796809096, 'recall': 0.7126679731243002, 'f1-score': 0.6899984908444563, 'support': 2026}","{'precision': 0.8722787514376193, 'recall': 0.8558736426456071, 'f1-score': 0.8630369420486258, 'support': 2026}"
DecisionTreeClassifier,"{'precision': 0.927594070695553, 'recall': 0.9109742441209406, 'f1-score': 0.9192090395480226, 'support': 1786}","{'precision': 0.41544117647058826, 'recall': 0.4708333333333333, 'f1-score': 0.44140625000000006, 'support': 240}",0.8588351431391905,"{'precision': 0.6715176235830707, 'recall': 0.690903788727137, 'f1-score': 0.6803076447740113, 'support': 2026}","{'precision': 0.8669244287340566, 'recall': 0.8588351431391905, 'f1-score': 0.8626085116647425, 'support': 2026}"
DummyClassifier,"{'precision': 0.8815399802566634, 'recall': 1.0, 'f1-score': 0.9370409233997901, 'support': 1786}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 240}",0.8815399802566634,"{'precision': 0.4407699901283317, 'recall': 0.5, 'f1-score': 0.46852046169989503, 'support': 2026}","{'precision': 0.7771127367909184, 'recall': 0.8815399802566634, 'f1-score': 0.8260390371135365, 'support': 2026}"
ExtraTreeClassifier,"{'precision': 0.9223410241980866, 'recall': 0.9176931690929452, 'f1-score': 0.920011226494527, 'support': 1786}","{'precision': 0.40963855421686746, 'recall': 0.425, 'f1-score': 0.4171779141104294, 'support': 240}",0.8593287265547878,"{'precision': 0.6659897892074771, 'recall': 0.6713465845464726, 'f1-score': 0.6685945703024783, 'support': 2026}","{'precision': 0.8616062794816539, 'recall': 0.8593287265547878, 'f1-score': 0.8604455823818994, 'support': 2026}"
ExtraTreesClassifier,"{'precision': 0.9226254002134472, 'recall': 0.9680851063829787, 'f1-score': 0.9448087431693989, 'support': 1786}","{'precision': 0.625, 'recall': 0.3958333333333333, 'f1-score': 0.4846938775510204, 'support': 240}",0.9002961500493584,"{'precision': 0.7738127001067236, 'recall': 0.681959219858156, 'f1-score': 0.7147513103602097, 'support': 2026}","{'precision': 0.8873686894280438, 'recall': 0.9002961500493584, 'f1-score': 0.890303527104043, 'support': 2026}"
GaussianNB,"{'precision': 0.9316239316239316, 'recall': 0.9154535274356103, 'f1-score': 0.9234679469076532, 'support': 1786}","{'precision': 0.44280442804428044, 'recall': 0.5, 'f1-score': 0.46966731898238745, 'support': 240}",0.866238894373149,"{'precision': 0.687214179834106, 'recall': 0.7077267637178051, 'f1-score': 0.6965676329450203, 'support': 2026}","{'precision': 0.8737183635789583, 'recall': 0.866238894373149, 'f1-score': 0.8697107155640877, 'support': 2026}"
GaussianProcessClassifier,"{'precision': 0.914238592633315, 'recall': 0.931131019036954, 'f1-score': 0.9226074895977809, 'support': 1786}","{'precision': 0.4057971014492754, 'recall': 0.35, 'f1-score': 0.37583892617449666, 'support': 240}",0.8622902270483712,"{'precision': 0.6600178470412952, 'recall': 0.640565509518477, 'f1-score': 0.6492232078861389, 'support': 2026}","{'precision': 0.8540086035493222, 'recall': 0.8622902270483712, 'f1-score': 0.8578372747796229, 'support': 2026}"
GradientBoostingClassifier,"{'precision': 0.9257265877287406, 'recall': 0.9630459126539753, 'f1-score': 0.9440175631174533, 'support': 1786}","{'precision': 0.6071428571428571, 'recall': 0.425, 'f1-score': 0.5, 'support': 240}",0.8993089832181639,"{'precision': 0.7664347224357988, 'recall': 0.6940229563269876, 'f1-score': 0.7220087815587266, 'support': 2026}","{'precision': 0.887987152713631, 'recall': 0.8993089832181639, 'f1-score': 0.8914192338241717, 'support': 2026}"
HistGradientBoostingClassifier,"{'precision': 0.9285714285714286, 'recall': 0.9608062709966405, 'f1-score': 0.9444138690148596, 'support': 1786}","{'precision': 0.6067415730337079, 'recall': 0.45, 'f1-score': 0.5167464114832536, 'support': 240}",0.9002961500493584,"{'precision': 0.7676565008025682, 'recall': 0.7054031354983202, 'f1-score': 0.7305801402490566, 'support': 2026}","{'precision': 0.890447457530435, 'recall': 0.9002961500493584, 'f1-score': 0.8937523735520829, 'support': 2026}"
KNeighborsClassifier,"{'precision': 0.9076029567053854, 'recall': 0.9624860022396416, 'f1-score': 0.9342391304347827, 'support': 1786}","{'precision': 0.49242424242424243, 'recall': 0.2708333333333333, 'f1-score': 0.34946236559139787, 'support': 240}",0.8805528134254689,"{'precision': 0.7000135995648139, 'recall': 0.6166596677864875, 'f1-score': 0.6418507480130903, 'support': 2026}","{'precision': 0.8584208780146281, 'recall': 0.8805528134254689, 'f1-score': 0.8649664633259908, 'support': 2026}"
LabelPropagation,"{'precision': 0.883419689119171, 'recall': 0.9546472564389697, 'f1-score': 0.9176533907427342, 'support': 1786}","{'precision': 0.15625, 'recall': 0.0625, 'f1-score': 0.08928571428571429, 'support': 240}",0.8489634748272458,"{'precision': 0.5198348445595855, 'recall': 0.5085736282194848, 'f1-score': 0.5034695525142242, 'support': 2026}","{'precision': 0.7972791533893581, 'recall': 0.8489634748272458, 'f1-score': 0.8195249394348937, 'support': 2026}"
LabelSpreading,"{'precision': 0.883419689119171, 'recall': 0.9546472564389697, 'f1-score': 0.9176533907427342, 'support': 1786}","{'precision': 0.15625, 'recall': 0.0625, 'f1-score': 0.08928571428571429, 'support': 240}",0.8489634748272458,"{'precision': 0.5198348445595855, 'recall': 0.5085736282194848, 'f1-score': 0.5034695525142242, 'support': 2026}","{'precision': 0.7972791533893581, 'recall': 0.8489634748272458, 'f1-score': 0.8195249394348937, 'support': 2026}"
LinearDiscriminantAnalysis,"{'precision': 0.9225806451612903, 'recall': 0.9608062709966405, 'f1-score': 0.9413055403181569, 'support': 1786}","{'precision': 0.5783132530120482, 'recall': 0.4, 'f1-score': 0.47290640394088673, 'support': 240}",0.8943731490621916,"{'precision': 0.7504469490866692, 'recall': 0.6804031354983202, 'f1-score': 0.7071059721295219, 'support': 2026}","{'precision': 0.881798723090304, 'recall': 0.8943731490621916, 'f1-score': 0.8858189693751436, 'support': 2026}"
LinearSVC,"{'precision': 0.9213483146067416, 'recall': 0.9641657334826428, 'f1-score': 0.9422708618331053, 'support': 1786}","{'precision': 0.5923566878980892, 'recall': 0.3875, 'f1-score': 0.4685138539042821, 'support': 240}",0.8958538993089832,"{'precision': 0.7568525012524154, 'recall': 0.6758328667413214, 'f1-score': 0.7053923578686937, 'support': 2026}","{'precision': 0.8823759600114423, 'recall': 0.8958538993089832, 'f1-score': 0.8861495973203127, 'support': 2026}"
LogisticRegression,"{'precision': 0.9135220125786163, 'recall': 0.9759238521836506, 'f1-score': 0.9436924742826205, 'support': 1786}","{'precision': 0.635593220338983, 'recall': 0.3125, 'f1-score': 0.41899441340782123, 'support': 240}",0.8973346495557749,"{'precision': 0.7745576164587997, 'recall': 0.6442119260918253, 'f1-score': 0.6813434438452208, 'support': 2026}","{'precision': 0.8805985623626676, 'recall': 0.8973346495557749, 'f1-score': 0.8815367316321013, 'support': 2026}"
LogisticRegressionCV,"{'precision': 0.9129979035639413, 'recall': 0.975363941769317, 'f1-score': 0.9431510557661071, 'support': 1786}","{'precision': 0.6271186440677966, 'recall': 0.30833333333333335, 'f1-score': 0.4134078212290503, 'support': 240}",0.8963474827245804,"{'precision': 0.770058273815869, 'recall': 0.6418486375513252, 'f1-score': 0.6782794384975788, 'support': 2026}","{'precision': 0.8791326408398177, 'recall': 0.8963474827245804, 'f1-score': 0.8803976617439483, 'support': 2026}"
MLPClassifier,"{'precision': 0.9156184486373166, 'recall': 0.9781634938409854, 'f1-score': 0.9458581483486734, 'support': 1786}","{'precision': 0.6694915254237288, 'recall': 0.32916666666666666, 'f1-score': 0.44134078212290506, 'support': 240}",0.9012833168805529,"{'precision': 0.7925549870305226, 'recall': 0.6536650802538261, 'f1-score': 0.6935994652357893, 'support': 2026}","{'precision': 0.8864622484540683, 'recall': 0.9012833168805529, 'f1-score': 0.8860930111847127, 'support': 2026}"
MultinomialNB,"{'precision': 0.9272523782876329, 'recall': 0.9277715565509519, 'f1-score': 0.9275118947663027, 'support': 1786}","{'precision': 0.4602510460251046, 'recall': 0.4583333333333333, 'f1-score': 0.4592901878914405, 'support': 240}",0.8721618953603159,"{'precision': 0.6937517121563688, 'recall': 0.6930524449421426, 'f1-score': 0.6934010413288716, 'support': 2026}","{'precision': 0.8719313912476493, 'recall': 0.8721618953603159, 'f1-score': 0.8720463421256478, 'support': 2026}"
NearestCentroid,"{'precision': 0.967235494880546, 'recall': 0.7933930571108623, 'f1-score': 0.8717317748385113, 'support': 1786}","{'precision': 0.3422459893048128, 'recall': 0.8, 'f1-score': 0.47940074906367036, 'support': 240}",0.7941757156959526,"{'precision': 0.6547407420926794, 'recall': 0.7966965285554312, 'f1-score': 0.6755662619510908, 'support': 2026}","{'precision': 0.8931992257106666, 'recall': 0.7941757156959526, 'f1-score': 0.8252562337793001, 'support': 2026}"
PassiveAggressiveClassifier,"{'precision': 0.8954017180394138, 'recall': 0.9921612541993281, 'f1-score': 0.9413014608233732, 'support': 1786}","{'precision': 0.7021276595744681, 'recall': 0.1375, 'f1-score': 0.2299651567944251, 'support': 240}",0.8909180651530109,"{'precision': 0.798764688806941, 'recall': 0.564830627099664, 'f1-score': 0.5856333088088992, 'support': 2026}","{'precision': 0.8725064692577816, 'recall': 0.8909180651530109, 'f1-score': 0.8570365482039518, 'support': 2026}"
Perceptron,"{'precision': 0.9024517475221701, 'recall': 0.9686450167973124, 'f1-score': 0.9343775317310289, 'support': 1786}","{'precision': 0.48623853211009177, 'recall': 0.22083333333333333, 'f1-score': 0.3037249283667622, 'support': 240}",0.8800592300098716,"{'precision': 0.6943451398161309, 'recall': 0.5947391750653228, 'f1-score': 0.6190512300488955, 'support': 2026}","{'precision': 0.8531471218070177, 'recall': 0.8800592300098716, 'f1-score': 0.8596704118853112, 'support': 2026}"
QuadraticDiscriminantAnalysis,"{'precision': 0.9293044469783353, 'recall': 0.9126539753639418, 'f1-score': 0.9209039548022598, 'support': 1786}","{'precision': 0.4264705882352941, 'recall': 0.48333333333333334, 'f1-score': 0.453125, 'support': 240}",0.861796643632774,"{'precision': 0.6778875176068146, 'recall': 0.6979936543486376, 'f1-score': 0.68701447740113, 'support': 2026}","{'precision': 0.8697387381440164, 'recall': 0.861796643632774, 'f1-score': 0.8654908505808668, 'support': 2026}"
RandomForestClassifier,"{'precision': 0.9224598930481284, 'recall': 0.9658454647256439, 'f1-score': 0.9436542669584246, 'support': 1786}","{'precision': 0.6089743589743589, 'recall': 0.3958333333333333, 'f1-score': 0.4797979797979798, 'support': 240}",0.8983218163869694,"{'precision': 0.7657171260112436, 'recall': 0.6808393990294886, 'f1-score': 0.7117261233782022, 'support': 2026}","{'precision': 0.8853243904924992, 'recall': 0.8983218163869694, 'f1-score': 0.8887058420233276, 'support': 2026}"
RidgeClassifier,"{'precision': 0.9088555152770585, 'recall': 0.9826427771556551, 'f1-score': 0.9443099273607749, 'support': 1786}","{'precision': 0.6736842105263158, 'recall': 0.26666666666666666, 'f1-score': 0.3820895522388059, 'support': 240}",0.8978282329713722,"{'precision': 0.7912698629016872, 'recall': 0.6246547219111609, 'f1-score': 0.6631997397997904, 'support': 2026}","{'precision': 0.8809971178732193, 'recall': 0.8978282329713722, 'f1-score': 0.8777092906237204, 'support': 2026}"
RidgeClassifierCV,"{'precision': 0.9083850931677019, 'recall': 0.9826427771556551, 'f1-score': 0.9440559440559441, 'support': 1786}","{'precision': 0.6702127659574468, 'recall': 0.2625, 'f1-score': 0.37724550898203596, 'support': 240}",0.8973346495557749,"{'precision': 0.7892989295625743, 'recall': 0.6225713885778276, 'f1-score': 0.66065072651899, 'support': 2026}","{'precision': 0.8801711945840588, 'recall': 0.8973346495557749, 'f1-score': 0.8769115687263597, 'support': 2026}"
SGDClassifier,"{'precision': 0.9465506525792418, 'recall': 0.8527435610302352, 'f1-score': 0.8972017673048601, 'support': 1786}","{'precision': 0.36930455635491605, 'recall': 0.6416666666666667, 'f1-score': 0.4687975646879756, 'support': 240}",0.8277393879565647,"{'precision': 0.6579276044670789, 'recall': 0.747205113848451, 'f1-score': 0.6829996659964179, 'support': 2026}","{'precision': 0.8781700686237442, 'recall': 0.8277393879565647, 'f1-score': 0.8464529970047355, 'support': 2026}"
SVC,"{'precision': 0.8995410504844467, 'recall': 0.9876819708846585, 'f1-score': 0.9415532425940752, 'support': 1786}","{'precision': 0.6615384615384615, 'recall': 0.17916666666666667, 'f1-score': 0.2819672131147541, 'support': 240}",0.8919052319842053,"{'precision': 0.7805397560114541, 'recall': 0.5834243187756626, 'f1-score': 0.6117602278544146, 'support': 2026}","{'precision': 0.8713472590989401, 'recall': 0.8919052319842053, 'f1-score': 0.8634186685195259, 'support': 2026}"
